search_query,job_title,company_name,job_url,sorted_by_model
Machine Learning Germn,Software Tester / QA Engineer – SaaS (m/w/d) remote,CENDAS,https://de.linkedin.com/jobs/view/software-tester-qa-engineer-%E2%80%93-saas-m-w-d-remote-at-cendas-4426027310,gemini/gemini-2.5-flash
Machine Learning Germn,Software Test Engineer,Haystack,https://de.linkedin.com/jobs/view/software-test-engineer-at-haystack-4423169097,gemini/gemini-2.5-flash
Machine Learning Germn,Software Engineer in Test,Dataiku,https://de.linkedin.com/jobs/view/software-engineer-in-test-at-dataiku-4426396942,gemini/gemini-2.5-flash
Work Student ML,Working Student - Professional Development,McKinsey & Company,https://de.linkedin.com/jobs/view/working-student-professional-development-at-mckinsey-company-4416913680,gemini/gemini-2.5-flash
Work Student ML,HR Reporting & Analytics Intern,DHL Supply Chain,https://de.linkedin.com/jobs/view/hr-reporting-analytics-intern-at-dhl-supply-chain-4427036001,gemini/gemini-2.5-flash
Work Student ML,Business Operations Intern (f/m/d),Moss,https://de.linkedin.com/jobs/view/business-operations-intern-f-m-d-at-moss-4427105075,gemini/gemini-2.5-flash
Work Student ML,"Working Student (m/f/d) Global Oncology Pricing Analytics, Operations & Payer Excellence",Daiichi Sankyo Europe GmbH,https://de.linkedin.com/jobs/view/working-student-m-f-d-global-oncology-pricing-analytics-operations-payer-excellence-at-daiichi-sankyo-europe-gmbh-4406505533,gemini/gemini-2.5-flash
Work Student ML,Working Student Industrial (f/m/d),Valeo,https://de.linkedin.com/jobs/view/working-student-industrial-f-m-d-at-valeo-4417014204,gemini/gemini-2.5-flash
Work Student ML,Intern Brand Communications EMEA - 6 months (m/w/d),Arc'teryx Equipment,https://de.linkedin.com/jobs/view/intern-brand-communications-emea-6-months-m-w-d-at-arc-teryx-equipment-4426752769,gemini/gemini-2.5-flash
Work Student ML,Working Student (m/f/d) – Laboratory Preparation & Testing of Innovative High-Performance Materials,tesa,https://de.linkedin.com/jobs/view/working-student-m-f-d-%E2%80%93-laboratory-preparation-testing-of-innovative-high-performance-materials-at-tesa-4426095797,gemini/gemini-2.5-flash
Work Student ML,Werkstudent (Mensch) Client Service,WPP Media,https://de.linkedin.com/jobs/view/werkstudent-mensch-client-service-at-wpp-media-4412242042,gemini/gemini-2.5-flash
Work Student ML,Working Student (m/f/*) - Channel Marketing & Sales Support,3M,https://de.linkedin.com/jobs/view/working-student-m-f-channel-marketing-sales-support-at-3m-4426793600,gemini/gemini-2.5-flash
Work Student ML,Intern Financial Services Product Management (f/m/x),BMW Group,https://de.linkedin.com/jobs/view/intern-financial-services-product-management-f-m-x-at-bmw-group-4416140300,gemini/gemini-2.5-flash
Work Student ML,Bridgestone European Graduate Program - Marketing,Bridgestone EMEA,https://de.linkedin.com/jobs/view/bridgestone-european-graduate-program-marketing-at-bridgestone-emea-4416685828,gemini/gemini-2.5-flash
Work Student ML,Graduate Programme 2026,Mercury,https://de.linkedin.com/jobs/view/graduate-programme-2026-at-mercury-4294231485,gemini/gemini-2.5-flash
Work Student ML,Intern (m/f/x) - Regulatory Affairs,tesa,https://de.linkedin.com/jobs/view/intern-m-f-x-regulatory-affairs-at-tesa-4426102713,gemini/gemini-2.5-flash
Work Student ML,Bridgestone European Graduate Program - Marketing,Bridgestone EMEA,https://de.linkedin.com/jobs/view/bridgestone-european-graduate-program-marketing-at-bridgestone-emea-4416689799,gemini/gemini-2.5-flash
Work Student ML,Intern (m/f/x) - Regulatory Affairs,tesa,https://de.linkedin.com/jobs/view/intern-m-f-x-regulatory-affairs-at-tesa-4426107118,gemini/gemini-2.5-flash
Work Student ML,Sales Operations Intern (m/w/d),Sunhat,https://de.linkedin.com/jobs/view/sales-operations-intern-m-w-d-at-sunhat-4426057300,gemini/gemini-2.5-flash
Work Student ML,Intern Communications & PR - German speaking (m/f/d),Raisin,https://de.linkedin.com/jobs/view/intern-communications-pr-german-speaking-m-f-d-at-raisin-4423138676,gemini/gemini-2.5-flash
Work Student ML,"Work Student, Learning & Development (all genders)",TeamViewer,https://de.linkedin.com/jobs/view/work-student-learning-development-all-genders-at-teamviewer-4426044981,gemini/gemini-2.5-flash
Work Student ML,"Work Student, Learning & Development (all genders)",TeamViewer,https://de.linkedin.com/jobs/view/work-student-learning-development-all-genders-at-teamviewer-4426050843,gemini/gemini-2.5-flash
Work Student ML,"Work Student, Learning & Development (all genders)",TeamViewer,https://de.linkedin.com/jobs/view/work-student-learning-development-all-genders-at-teamviewer-4426047998,gemini/gemini-2.5-flash
Work Student ML,"Work Student, Learning & Development (all genders)",TeamViewer,https://de.linkedin.com/jobs/view/work-student-learning-development-all-genders-at-teamviewer-4426064018,gemini/gemini-2.5-flash
Work Student ML,Working Student – Technical Onboarding (m/f/d) | B2B SaaS | Berlin (hybrid),Packmatic,https://de.linkedin.com/jobs/view/working-student-%E2%80%93-technical-onboarding-m-f-d-b2b-saas-berlin-hybrid-at-packmatic-4427038013,gemini/gemini-2.5-flash
Work Student ML,Intern Bank Intelligence (m/f/d),Raisin,https://de.linkedin.com/jobs/view/intern-bank-intelligence-m-f-d-at-raisin-4423160791,gemini/gemini-2.5-flash
Work Student ML,"Work Student, Learning & Development (all genders)",TeamViewer,https://de.linkedin.com/jobs/view/work-student-learning-development-all-genders-at-teamviewer-4426041983,gemini/gemini-2.5-flash
Work Student ML,Working Student - Expert Services,Market Logic Software,https://de.linkedin.com/jobs/view/working-student-expert-services-at-market-logic-software-4427007381,gemini/gemini-2.5-flash
Work Student ML,"Work Student, Learning & Development (all genders)",TeamViewer,https://de.linkedin.com/jobs/view/work-student-learning-development-all-genders-at-teamviewer-4426046919,gemini/gemini-2.5-flash
Work Student ML,Working Student - Solution Consulting (f/m/d),think-cell Software,https://de.linkedin.com/jobs/view/working-student-solution-consulting-f-m-d-at-think-cell-software-4426103221,gemini/gemini-2.5-flash
Work Student ML,"Work Student, Learning & Development (all genders)",TeamViewer,https://de.linkedin.com/jobs/view/work-student-learning-development-all-genders-at-teamviewer-4426763922,gemini/gemini-2.5-flash
Work Student ML,Internship: Project Management Office / PMO Analyst (m/f/d),deltaVision - fluid control & aerospace,https://de.linkedin.com/jobs/view/internship-project-management-office-pmo-analyst-m-f-d-at-deltavision-fluid-control-aerospace-4423147234,gemini/gemini-2.5-flash
Work Student ML,"Sales Intern / Working Student (Sales Development Representative, Business Development)",Logistica OS,https://de.linkedin.com/jobs/view/sales-intern-working-student-sales-development-representative-business-development-at-logistica-os-4423140372,gemini/gemini-2.5-flash
Work Student ML,Product Operations Intern,Synthflow AI,https://de.linkedin.com/jobs/view/product-operations-intern-at-synthflow-ai-4426754338,gemini/gemini-2.5-flash
Work Student ML,Intern (m/f/d) in Macroeconomics and Capital Markets Research in Economic Research,Allianz,https://de.linkedin.com/jobs/view/intern-m-f-d-in-macroeconomics-and-capital-markets-research-in-economic-research-at-allianz-4427044755,gemini/gemini-2.5-flash
Work Student ML,Working Student - Investment Controlling (m/f/d) - REF97352O,Continental,https://de.linkedin.com/jobs/view/working-student-investment-controlling-m-f-d-ref97352o-at-continental-4427013747,gemini/gemini-2.5-flash
Work Student ML,Sales support - working student,Aegon Asset Management,https://de.linkedin.com/jobs/view/sales-support-working-student-at-aegon-asset-management-4406966983,gemini/gemini-2.5-flash
Work Student ML,Working Student (f/m/d) - Technology in Global Procurement Organization,SAP,https://de.linkedin.com/jobs/view/working-student-f-m-d-technology-in-global-procurement-organization-at-sap-4416196241,gemini/gemini-2.5-flash
Work Student ML,Sensor Intern (m/f/d) (On-site Berlin),Deltia,https://de.linkedin.com/jobs/view/sensor-intern-m-f-d-on-site-berlin-at-deltia-4427075424,gemini/gemini-2.5-flash
Work Student ML,Working student POS Excellence Marketing (m/f/x),tesa,https://de.linkedin.com/jobs/view/working-student-pos-excellence-marketing-m-f-x-at-tesa-4426004031,gemini/gemini-2.5-flash
Work Student ML,Internship / Intern (m/f/d) - Italian or French at native level,concertare Beratungs- und Dienstleistungsgesellschaft mbH,https://de.linkedin.com/jobs/view/internship-intern-m-f-d-italian-or-french-at-native-level-at-concertare-beratungs-und-dienstleistungsgesellschaft-mbh-4423101672,gemini/gemini-2.5-flash
Work Student ML,Intern Venture Development (all genders),Lufthansa Innovation Hub,https://de.linkedin.com/jobs/view/intern-venture-development-all-genders-at-lufthansa-innovation-hub-4426040942,gemini/gemini-2.5-flash
Work Student ML,"frog, part of Capgemini Invent - Strategy Intern",Capgemini Invent,https://de.linkedin.com/jobs/view/frog-part-of-capgemini-invent-strategy-intern-at-capgemini-invent-4426791033,gemini/gemini-2.5-flash
Machine Learning Germn,Software Development Engineer II C++ (m/f/d),Esri,https://de.linkedin.com/jobs/view/software-development-engineer-ii-c%2B%2B-m-f-d-at-esri-4417020818,gemini/gemini-2.5-flash
